,0
TVIXF.US.Equity,3.0967869142
ARKK.US.Equity,0.13281994859999996
UPS.US.Equity,-0.0036463548000000073
TTWO.US.Equity,0.038957862199999985
REMX.US.Equity,0.06907045699999999
FDN.US.Equity,-0.006298412799999997
BLOK.US.Equity,0.05576743759999998
BOTZ.US.Equity,0.012499968400000009
SQQQ.US.Equity,1.0727082983999998
ITA.US.Equity,0.011365561599999989
SHIO.US.Equity,-0.07819293699999998
CRM.US.Equity,-0.017792750999999985
ADBE.US.Equity,-0.09498628479999996
DXCM.US.Equity,-0.0820040402
PYPL.US.Equity,0.1916878392
ZBRA.US.Equity,0.0355923852
XOP.US.Equity,0.15220282599999999
NULG.US.Equity,-0.0833046636
PG.US.Equity,-0.0888030318
XLV.US.Equity,-0.054382305400000004
